529 529 529 	1 0 2 	3	6	0.010534		224.84		0.010865		217.99	1184287112
529 529 23 23 	1 0 3 2 	4	6	0.011603		204.13		0.011904		198.97	1184287112
529 12167 23 	1 0 2 	3	6	0.011879		199.40		0.012168		194.66	1184287112
529 279841 	1 0 	2	-1	0.011448		206.89		0.121512		 19.49	1184287112
529 529 23 23 	1 3 0 2 	4	6	0.011822		200.35		0.011942		198.34	1184287112
529 529 23 23 	1 3 2 0 	4	6	0.011867		199.59		0.011985		197.63	1184287112
12167 529 23 	1 0 2 	3	6	0.011722		202.07		0.011839		200.06	1184287112
529 23 529 23 	2 0 3 1 	4	6	0.011648		203.35		0.011770		201.23	1184287112
529 23 529 23 	2 1 0 3 	4	6	0.011874		199.48		0.011993		197.50	1184287112
529 23 529 23 	2 1 3 0 	4	6	0.011923		198.66		0.012040		196.72	1184287112
12167 12167 	1 0 	2	-1	0.011491		206.12		0.011578		204.58	1184287112
529 23 12167 	2 1 0 	3	6	0.011968		197.91		0.012086		195.98	1184287112
279841 529 	1 0 	2	-1	0.011001		215.31		0.011087		213.63	1184287112
529 23 23 529 	3 0 2 1 	4	6	0.011669		202.98		0.011786		200.97	1184287112
529 23 23 529 	3 1 0 2 	4	6	0.011929		198.56		0.012047		196.61	1184287112
529 529 529 	2 1 0 	3	6	0.011723		202.05		0.011838		200.08	1184287112
12167 23 529 	2 1 0 	3	6	0.012005		197.30		0.012121		195.41	1184287112
529 23 23 529 	3 2 1 0 	4	6	0.011942		198.34		0.012060		196.40	1184287112
77 529 3174 	1 0 2 	3	6	0.009432		219.32		0.009547		216.67	1034292336
77 529 46 69 	1 0 3 2 	4	6	0.009647		214.43		0.009766		211.81	1034292336
77 24334 69 	1 0 2 	3	6	0.009252		223.59		0.009370		220.76	1034292336
77 1679046 	1 0 	2	-1	0.010016		206.53		0.010106		204.70	1034292336
77 529 46 69 	1 3 0 2 	4	6	0.009539		216.85		0.009656		214.23	1034292336
77 529 46 69 	1 3 2 0 	4	6	0.009571		216.13		0.009694		213.39	1034292336
1771 1058 69 	1 0 2 	3	6	0.009338		221.53		0.009455		218.78	1034292336
77 23 1058 69 	2 0 3 1 	4	6	0.009883		209.32		0.010002		206.82	1034292336
77 23 1058 69 	2 1 0 3 	4	6	0.009934		208.23		0.010052		205.79	1034292336
77 23 1058 69 	2 1 3 0 	4	6	0.010237		202.07		0.010355		199.77	1034292336
1771 73002 	1 0 	2	-1	0.010184		203.11		0.010271		201.40	1034292336
77 23 73002 	2 1 0 	3	6	0.010243		201.95		0.010361		199.65	1034292336
40733 46 69 	1 0 2 	3	6	0.009958		207.73		0.010074		205.35	1034292336
1771 23 46 69 	2 0 3 1 	4	6	0.009851		209.99		0.009970		207.49	1034292336
77 23 23 46 69 	3 0 2 1 4 	5	6	0.010327		200.30		0.010444		198.07	1034292336
77 23 23 46 69 	3 0 2 4 1 	5	6	0.010344		199.98		0.010468		197.62	1034292336
77 529 46 69 	2 0 3 1 	4	6	0.011100		186.36		0.011214		184.46	1034292336
77 23 23 46 69 	3 0 4 2 1 	5	6	0.010257		201.67		0.010374		199.40	1034292336
77 23 23 46 69 	3 1 0 2 4 	5	6	0.010224		202.33		0.010340		200.06	1034292336
77 23 23 46 69 	3 1 0 4 2 	5	6	0.010291		201.02		0.010408		198.75	1034292336
77 529 46 69 	2 1 0 3 	4	6	0.011195		184.78		0.011313		182.85	1034292336
77 529 46 69 	2 1 3 0 	4	6	0.011246		183.94		0.011362		182.05	1034292336
77 23 23 46 69 	3 1 4 0 2 	5	6	0.010920		189.42		0.011039		187.40	1034292336
77 23 23 46 69 	3 1 4 2 0 	5	6	0.010770		192.06		0.010889		189.97	1034292336
1771 23 46 69 	2 1 0 3 	4	6	0.010229		202.22		0.010346		199.95	1034292336
77 23 23 46 69 	3 2 0 4 1 	5	6	0.010231		202.19		0.010349		199.88	1034292336
77 23 23 46 69 	3 2 1 0 4 	5	6	0.010196		202.89		0.010314		200.57	1034292336
77 23 23 46 69 	3 2 1 4 0 	5	6	0.010899		189.80		0.011015		187.80	1034292336
1771 23 46 69 	2 1 3 0 	4	6	0.010883		190.07		0.011000		188.05	1034292336
77 23 23 46 69 	3 2 4 1 0 	5	6	0.010903		189.73		0.011021		187.69	1034292336
40733 3174 	1 0 	2	-1	0.009794		211.20		0.009885		209.26	1034292336
77 23 23 3174 	3 0 2 1 	4	6	0.010068		205.46		0.010185		203.09	1034292336
77 23 23 3174 	3 1 0 2 	4	6	0.010175		203.30		0.010292		201.00	1034292336
77 529 3174 	2 1 0 	3	6	0.010180		203.21		0.010297		200.90	1034292336
1771 23 3174 	2 1 0 	3	6	0.010398		198.94		0.010516		196.71	1034292336
77 23 23 3174 	3 2 1 0 	4	6	0.010180		203.20		0.010298		200.87	1034292336
1873718 69 	1 0 	2	-1	0.010661		194.03		0.010746		192.49	1034292336
1771 23 46 69 	3 0 2 1 	4	6	0.010095		204.91		0.010214		202.53	1034292336
77 23 23 46 69 	4 0 2 1 3 	5	6	0.010805		191.44		0.010923		189.39	1034292336
77 23 1058 69 	3 0 2 1 	4	6	0.010447		198.00		0.010566		195.78	1034292336
77 529 46 69 	3 0 2 1 	4	6	0.011461		180.49		0.011577		178.68	1034292336
77 23 23 46 69 	4 0 3 2 1 	5	6	0.010672		193.84		0.010791		191.70	1034292336
77 23 1058 69 	3 1 0 2 	4	6	0.010338		200.10		0.010454		197.87	1034292336
77 23 23 46 69 	4 1 0 3 2 	5	6	0.010684		193.62		0.010800		191.53	1034292336
77 529 46 69 	3 1 0 2 	4	6	0.011776		175.66		0.011891		173.97	1034292336
77 24334 69 	2 1 0 	3	6	0.010994		188.15		0.011112		186.16	1034292336
77 23 23 46 69 	4 1 3 0 2 	5	6	0.011235		184.12		0.011351		182.23	1034292336
77 23 23 46 69 	4 1 3 2 0 	5	6	0.011169		185.20		0.011286		183.29	1034292336
1771 23 46 69 	3 1 0 2 	4	6	0.010824		191.11		0.010941		189.06	1034292336
77 23 23 46 69 	4 2 0 3 1 	5	6	0.010574		195.62		0.010691		193.49	1034292336
77 23 23 46 69 	4 2 1 0 3 	5	6	0.010683		193.64		0.010801		191.51	1034292336
77 23 23 46 69 	4 2 1 3 0 	5	6	0.010796		191.60		0.010916		189.49	1034292336
1771 1058 69 	2 1 0 	3	6	0.010675		193.78		0.010791		191.69	1034292336
77 23 1058 69 	3 2 1 0 	4	6	0.011020		187.72		0.011134		185.79	1034292336
40733 46 69 	2 1 0 	3	6	0.011304		183.00		0.011421		181.12	1034292336
77 23 23 46 69 	4 3 0 2 1 	5	6	0.010575		195.61		0.010692		193.47	1034292336
77 23 23 46 69 	4 3 1 0 2 	5	6	0.010933		189.21		0.011049		187.21	1034292336
77 529 46 69 	3 2 1 0 	4	6	0.011728		176.37		0.011847		174.62	1034292336
1771 23 46 69 	3 2 1 0 	4	6	0.011286		183.28		0.011404		181.40	1034292336
77 23 23 46 69 	4 3 2 1 0 	5	6	0.010885		190.05		0.011001		188.03	1034292336
69 46 40733 	1 0 2 	3	6	0.010784		191.82		0.010901		189.76	1034292336
69 46 529 11 7 	1 0 2 4 3 	5	6	0.010166		203.47		0.010280		201.22	1034292336
69 46 23 23 11 7 	1 0 2 4 3 5 	6	6	0.010159		203.63		0.010276		201.30	1034292336
69 46 23 23 77 	1 0 2 4 3 	5	6	0.010111		204.58		0.010229		202.22	1034292336
69 46 23 253 7 	1 0 2 4 3 	5	6	0.010167		203.46		0.010284		201.15	1034292336
69 46 23 23 11 7 	1 0 2 5 4 3 	6	6	0.010105		204.70		0.010219		202.43	1034292336
69 46 23 23 77 	1 0 3 2 4 	5	6	0.010104		204.74		0.010221		202.39	1034292336
69 46 23 23 11 7 	1 0 3 2 5 4 	6	6	0.010107		204.67		0.010221		202.38	1034292336
69 46 23 253 7 	1 0 3 2 4 	5	6	0.010106		204.70		0.010224		202.32	1034292336
69 46 23 1771 	1 0 3 2 	4	6	0.010077		205.28		0.010188		203.04	1034292336
69 46 23 23 11 7 	1 0 3 5 2 4 	6	6	0.010097		204.86		0.010214		202.52	1034292336
69 46 23 23 11 7 	1 0 3 5 4 2 	6	6	0.010115		204.51		0.010231		202.18	1034292336
69 46 529 11 7 	1 0 3 2 4 	5	6	0.010184		203.11		0.010301		200.81	1034292336
69 46 23 23 11 7 	1 0 4 2 5 3 	6	6	0.010074		205.34		0.010189		203.02	1034292336
69 46 23 23 11 7 	1 0 4 3 2 5 	6	6	0.010064		205.54		0.010182		203.17	1034292336
69 46 23 23 11 7 	1 0 4 3 5 2 	6	6	0.010058		205.67		0.010176		203.28	1034292336
69 46 529 77 	1 0 3 2 	4	6	0.011794		175.39		0.011911		173.67	1034292336
69 46 23 23 77 	1 0 4 3 2 	5	6	0.010045		205.94		0.010163		203.54	1034292336
69 46 5819 7 	1 0 3 2 	4	6	0.010148		203.84		0.010264		201.53	1034292336
69 46 23 23 11 7 	1 0 5 2 4 3 	6	6	0.010051		205.80		0.010172		203.36	1034292336
69 46 23 23 11 7 	1 0 5 3 2 4 	6	6	0.010087		205.07		0.010205		202.70	1034292336
69 46 23 253 7 	1 0 4 3 2 	5	6	0.010083		205.15		0.010203		202.75	1034292336
69 46 529 11 7 	1 0 4 3 2 	5	6	0.009941		208.09		0.010058		205.67	1034292336
69 46 23 23 11 7 	1 0 5 4 3 2 	6	6	0.010081		205.21		0.010199		202.82	1034292336
69 1058 1771 	1 0 2 	3	6	0.009628		214.86		0.009746		212.26	1034292336
69 1058 23 11 7 	1 0 2 4 3 	5	6	0.009854		209.93		0.009972		207.45	1034292336
69 1058 23 11 7 	1 0 3 2 4 	5	6	0.009811		210.85		0.009928		208.37	1034292336
69 1058 23 77 	1 0 3 2 	4	6	0.009842		210.18		0.009961		207.68	1034292336
69 1058 253 7 	1 0 3 2 	4	6	0.009808		210.91		0.009925		208.43	1034292336
69 1058 23 11 7 	1 0 4 3 2 	5	6	0.009804		210.99		0.009923		208.46	1034292336
69 24334 77 	1 0 2 	3	6	0.009585		215.80		0.009702		213.21	1034292336
69 24334 11 7 	1 0 3 2 	4	6	0.009645		214.48		0.009763		211.87	1034292336
69 267674 7 	1 0 2 	3	6	0.009437		219.20		0.009554		216.52	1034292336
69 1873718 	1 0 	2	-1	0.010432		198.30		0.010520		196.64	1034292336
69 24334 11 7 	1 3 0 2 	4	6	0.009798		211.13		0.009916		208.62	1034292336
69 24334 11 7 	1 3 2 0 	4	6	0.009913		208.67		0.010031		206.21	1034292336
69 1058 23 11 7 	1 3 0 2 4 	5	6	0.010071		205.40		0.010188		203.04	1034292336
69 1058 23 11 7 	1 3 0 4 2 	5	6	0.010063		205.56		0.010183		203.15	1034292336
69 1058 23 11 7 	1 3 2 0 4 	5	6	0.010054		205.74		0.010171		203.39	1034292336
69 1058 23 11 7 	1 3 2 4 0 	5	6	0.010172		203.36		0.010290		201.03	1034292336
69 1058 23 77 	1 3 0 2 	4	6	0.010194		202.92		0.010310		200.63	1034292336
69 1058 23 77 	1 3 2 0 	4	6	0.010210		202.60		0.010329		200.27	1034292336
69 1058 253 7 	1 3 0 2 	4	6	0.009613		215.18		0.009731		212.58	1034292336
69 1058 23 11 7 	1 4 0 3 2 	5	6	0.010068		205.46		0.010185		203.10	1034292336
69 1058 23 11 7 	1 4 2 0 3 	5	6	0.010192		202.96		0.010308		200.68	1034292336
69 1058 253 7 	1 3 2 0 	4	6	0.009460		218.67		0.009573		216.07	1034292336
69 1058 23 11 7 	1 4 3 0 2 	5	6	0.010210		202.61		0.010325		200.34	1034292336
69 1058 23 11 7 	1 4 3 2 0 	5	6	0.010167		203.47		0.010286		201.10	1034292336
69 46 23 23 77 	1 3 0 2 4 	5	6	0.010074		205.33		0.010191		202.98	1034292336
69 46 23 23 11 7 	1 3 0 2 5 4 	6	6	0.010071		205.39		0.010189		203.03	1034292336
69 46 23 23 11 7 	1 3 0 4 2 5 	6	6	0.010108		204.64		0.010225		202.31	1034292336
69 46 23 23 77 	1 3 0 4 2 	5	6	0.010171		203.39		0.010289		201.04	1034292336
